ident_1	ident_2	gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	3_p_val	3_avg_log2FC	3_pct.1	3_pct.2	3_p_val_adj	max_pval	minimump_p_val	avg_fc	min_abs_fc	max_abs_fc	all_same_direction	direction	n_same_direction	min_p	max_p	significant
CHIKV	mock	Akap9	0.7642067428672538	-0.13745212622099412	0.329	0.314	1	0.9414820676817164	0.06944983471706245	0.273	0.269	1	0.4517819915384059	0.13256231349975134	0.303	0.278	1	0.9414820676817164	0.8352369234149657	0.02152000733193989	0.06944983471706245	-0.13745212622099412	FALSE	up	2	1	1	FALSE
CHIKV	mock	Trip12	0.4759684639578773	0.05783609854361327	0.481	0.392	1	0.2822778352249763	-0.11468263686330671	0.435	0.469	1	0.9800827433885739	0.12138034038615175	0.432	0.481	1	0.9800827433885739	0.6302832939285528	0.021511267355486103	0.05783609854361327	0.12138034038615175	FALSE	up	2	1	1	FALSE
CHIKV	mock	Gps2	0.2698531823582995	0.03246428360751863	0.348	0.245	1	0.023627409563377805	0.24864053943336972	0.255	0.171	1	0.012338530541555988	-0.21672679738963996	0.17	0.278	1	0.2698531823582995	0.03656075202658916	0.021459341883749466	0.03246428360751863	0.24864053943336972	FALSE	up	2	1	1	FALSE
CHIKV	mock	Atg101	0.7556367203709415	-0.05393446513677236	0.259	0.216	1	0.10455371402296099	0.0931788066062963	0.27	0.194	1	0.4829951988234378	0.024561907439179964	0.19	0.231	1	0.7556367203709415	0.28200963146223923	0.021268749636234634	0.024561907439179964	0.0931788066062963	FALSE	up	2	1	1	FALSE
CHIKV	mock	Dnajb4	0.9593301954354089	-0.025555533589923185	0.114	0.108	1	0.5701942975534136	0.05457316874952017	0.162	0.143	1	0.6944043262601052	0.03469214664966347	0.156	0.148	1	0.9593301954354089	0.9206007281607278	0.02123659393642015	-0.025555533589923185	0.05457316874952017	FALSE	up	2	1	1	FALSE
CHIKV	mock	Fam98b	0.07250261141129519	-0.008951180598513964	0.196	0.098	1	0.7950428281241357	0.06435583429698549	0.126	0.12	1	0.31961666845442666	0.008167082497288036	0.124	0.167	1	0.7950428281241357	0.20211906755468892	0.021190578731919856	0.008167082497288036	0.06435583429698549	FALSE	up	2	1	1	FALSE
CHIKV	mock	Mynn	0.22720076982340762	0.05209732643026527	0.146	0.088	1	0.6481979515480811	0.0680675664319591	0.122	0.109	1	0.013807852764502363	-0.0566340298952156	0.089	0.176	1	0.6481979515480811	0.04085422046060343	0.021176954322336256	0.05209732643026527	0.0680675664319591	FALSE	up	2	1	1	FALSE
CHIKV	mock	Zc3h14	0.07017221526224009	0.006879746092758987	0.259	0.137	1	0.3793187223756282	0.1683897835838989	0.234	0.206	1	0.03532547510476943	-0.11175685309570543	0.163	0.259	1	0.3793187223756282	0.10227684001873878	0.021170892193650814	0.006879746092758987	0.1683897835838989	FALSE	up	2	1	1	FALSE
CHIKV	mock	Sdcbp	0.07748115327786848	0.09979177745090628	0.633	0.422	1	0.2102450629956662	-0.14469109021674864	0.471	0.514	1	0.9752205181581186	0.10832729483255954	0.496	0.546	1	0.9752205181581186	0.21489861735700247	0.021142660688905728	0.09979177745090628	-0.14469109021674864	FALSE	up	2	1	1	FALSE
CHIKV	mock	Ddx6	0.37757668675031864	0.07326020009691137	0.842	0.676	1	3.013318225514866e-4	-0.2849333868723418	0.755	0.874	1	0.07346943512787933	0.2749449237346715	0.805	0.824	1	0.37757668675031864	9.03723092413805e-4	0.021090578986413682	0.07326020009691137	-0.2849333868723418	FALSE	up	2	1	1	FALSE
CHIKV	mock	Tomm40	0.16436738011992139	0.03176641477874215	0.19	0.118	1	0.44617441003902836	0.041640810587525334	0.147	0.12	1	0.2283529000850478	-0.010148547375843309	0.094	0.139	1	0.44617441003902836	0.41649288703833565	0.021086225996808056	-0.010148547375843309	0.041640810587525334	FALSE	up	2	1	1	FALSE
CHIKV	mock	Tor1a	0.20707892384505194	0.06231492865362376	0.165	0.098	1	0.17251305880208276	0.03821655890744963	0.137	0.091	1	0.39657122540848927	-0.03735852808417833	0.131	0.167	1	0.39657122540848927	0.43339102899068693	0.021057653158965017	-0.03735852808417833	0.06231492865362376	FALSE	up	2	1	1	FALSE
CHIKV	mock	Mpnd	0.08413303525735495	0.07036692041518505	0.171	0.088	1	0.9632092467427216	-7.300765077480897e-4	0.122	0.12	1	0.6328999856472219	-0.00677469863457858	0.101	0.12	1	0.9632092467427216	0.2317595274598928	0.020954048424286126	-7.300765077480897e-4	0.07036692041518505	FALSE	down	2	1	1	FALSE
CHIKV	mock	Naxd	0.4420463533620443	-0.04918469505363565	0.152	0.108	1	0.054127258954365806	0.18567084618395066	0.122	0.069	1	0.148255192774201	-0.07369407240885839	0.113	0.167	1	0.4420463533620443	0.15375107626431658	0.020930692907152205	-0.04918469505363565	0.18567084618395066	FALSE	down	2	1	1	FALSE
CHIKV	mock	Fam173a	0.22015544513934215	-0.008579696096143619	0.259	0.167	1	0.013815404892413287	0.21584711816874486	0.248	0.149	1	0.0027912026256063345	-0.1451206121337258	0.134	0.259	1	0.22015544513934215	0.008350257186262611	0.02071560331295848	-0.008579696096143619	0.21584711816874486	FALSE	down	2	1	1	FALSE
CHIKV	mock	Rcn2	0.6000231205578133	-0.21142351957139371	0.203	0.206	1	0.17522044785211222	0.13253182519764461	0.176	0.131	1	0.5241135106065379	0.14102317838716288	0.168	0.148	1	0.6000231205578133	0.43893438169053733	0.02071049467113793	0.13253182519764461	-0.21142351957139371	FALSE	up	2	1	1	FALSE
CHIKV	mock	Slc25a12	0.6601889992075707	0.004650416711609817	0.139	0.118	1	0.7075605373373461	-0.03460136280884918	0.094	0.103	1	0.5033208345599032	0.09206998415533152	0.113	0.093	1	0.7075605373373461	0.8774741206286374	0.020706346019364053	0.004650416711609817	0.09206998415533152	FALSE	up	2	1	1	FALSE
CHIKV	mock	Otud4	0.9660186670586323	-0.12526827349177982	0.234	0.216	1	0.1832548091224115	-0.07487848778310446	0.216	0.274	1	0.2851987694545077	0.26208920230546673	0.261	0.231	1	0.9660186670586323	0.45517157473770686	0.02064748034352748	-0.07487848778310446	0.26208920230546673	FALSE	down	2	1	1	FALSE
CHIKV	mock	Mcrs1	0.00319275528445966	0.2009283355144205	0.196	0.059	1	0.6393459103803598	-0.0589494587948321	0.119	0.131	1	0.04153504324180475	-0.08004266740480687	0.096	0.167	1	0.6393459103803598	0.009547717340405474	0.020645403104927174	-0.0589494587948321	0.2009283355144205	FALSE	down	2	1	1	FALSE
